"country";"iso3";"infection_score";"infection_ranking";"infection.(cases.per.100.thousand)";"infection_score2"
"Китай";"CHN";100;1;5,85343514263951;100
"Япония";"JPN";99,3770396300701;2;15,9094506792676;99,3770396300701
"Нигерия";"NGA";99,3623932937999;3;16,1458762886598;99,3623932937999
"Индонезия";"IDN";98,8104670058334;4;25,0552380952381;98,8104670058334
"Южная Корея";"KOR";98,7498156977881;5;26,0342899345854;98,7498156977881
"Малайзия";"MYS";98,6907599220399;6;26,9875862068966;98,6907599220399
"Австралия";"AUS";98,0817707589893;7;36,8180742778542;98,0817707589893
"Алжир";"DZA";97,8734645279032;8;40,1806167400881;97,8734645279032
"Морокко";"MAR";97,7643306743512;9;41,9422885572139;97,7643306743512
"Филиппины";"PHL";97,313339470015;10;49,2223255813953;97,313339470015
"Индия";"IND";96,748468876657;11;58,3406382978723;96,748468876657
"Египет";"EGY";95,1850311517657;12;83,578125;95,1850311517657
"Гана";"GHA";95,1268235062497;13;84,5177304964539;95,1268235062497
"Польша";"POL";94,3103384631101;14;97,6976800976801;94,3103384631101
"Бангладеш";"BGD";93,4536333058038;15;111,526875;93,4536333058038
"Пакистан";"PAK";93,2967252538053;16;114,059732441472;93,2967252538053
"Украина";"UKR";93,1176411902781;17;116,950561797753;93,1176411902781
"Чехия";"CZE";92,8320853313328;18;121,560091220068;92,8320853313328
"Румыния";"ROU";90,3211766362826;19;162,09194214876;90,3211766362826
"Ирак";"IRQ";88,8300565638504;20;186,162055335968;88,8300565638504
"Аргентина";"ARG";87,848412396598;21;202,008053691275;87,848412396598
"Австрия";"AUT";87,4988015736141;22;207,651577801959;87,4988015736141
"Мексика";"MEX";85,7290104544025;23;236,220083682008;85,7290104544025
"Германия";"DEU";85,5970535289754;24;238,350172458619;85,5970535289754
"Турция";"TUR";84,8252096427927;25;250,809510942988;84,8252096427927
"Франция";"FRA";84,1473598100867;26;261,751568862275;84,1473598100867
"Колумбия";"COL";83,1502407015361;27;277,847368421053;83,1502407015361
"Канада";"CAN";82,7595605472478;28;284,153846153846;82,7595605472478
"Казахстан";"KAZ";82,5124917791992;29;288,142105263158;82,5124917791992
"Нидерланды";"NLD";81,9728538981562;30;296,853103872157;81,9728538981562
"Иран";"IRN";81,7037526713934;31;301,197017623136;81,7037526713934
"Эквадор";"ECU";77,6054240478849;32;367,353483269336;77,6054240478849
"Италия";"ITA";75,5088416866731;33;401,197152651613;75,5088416866731
"Израиль";"ISR";74,4135420853629;34;418,877811550152;74,4135420853629
"Южная Африка";"ZAF";74,1961183465261;35;422,387531592249;74,1961183465261
"Великобритания";"GBR";74,0410697012998;36;424,890373924747;74,0410697012998
"Португалия";"PRT";72,6122631402354;37;447,954603481625;72,6122631402354
"Россия";"RUS";70,0589672880814;38;489,170680776815;70,0589672880814
"Бельгия";"BEL";67,0364828333879;39;537,960543026056;67,0364828333879
"Испания";"ESP";60,4916505366481;40;643,609214173551;60,4916505366481
"Саудовская Аравия";"SAU";59,5421199964623;41;658,936824605154;59,5421199964623
"Белоруссия";"BLR";57,7864987716837;42;687,276595744681;57,7864987716837
"Швеция";"SWE";54,462074021152;43;740,94046997389;54,462074021152
"Бразилия";"BRA";48,8260962517491;44;831,918135245902;48,8260962517491
"Перу";"PER";41,3409799476689;45;952,745156482861;41,3409799476689
"США";"USA";38,811808186574;46;993,571815371668;38,811808186574
"Армения";"ARM";35,9217611290278;47;1040,22383292383;35,9217611290278
"Чили";"CHL";0;48;1620,08381351493;0
