"iso2";"country";"v1";"v2";"v3";"v4";"v5";"v6";"v7";"v8";"v9";"v10";"v11";"v12";"v13";"v14";"v15";"v16";"v17";"v18";"v19"
"AU";"Австралия";NA;NA;2;2;NA;NA;1;NA;NA;NA;0;5;NA;1;1;1;NA;3;8
"AT";"Австрия";NA;NA;2;2;NA;NA;1;NA;NA;NA;0;5;NA;1;1;1;1;4;9
"DZ";"Алжир";NA;1;NA;NA;1;NA;NA;0;NA;NA;0;2;NA;1;1;1;NA;3;5
"AR";"Аргентина";NA;NA;2;2;NA;NA;1;NA;NA;NA;0;5;NA;1;1;1;NA;3;8
"AM";"Армения";NA;NA;2;NA;1;NA;NA;0;NA;NA;0;3;NA;1;NA;NA;NA;1;4
"BD";"Бангладеш";NA;1;NA;NA;1;NA;1;NA;NA;1;NA;4;NA;1;1;1;NA;3;7
"BY";"Белоруссия";0;NA;NA;NA;NA;0;1;NA;2;NA;NA;3;NA;1;NA;NA;NA;1;4
"BE";"Бельгия";NA;NA;2;2;NA;NA;1;NA;NA;NA;NA;5;NA;1;1;1;NA;3;8
"BR";"Бразилия";NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;1;1;NA;NA;2;4
"GB";"Великобритания";0;NA;NA;NA;NA;0;NA;0;NA;NA;0;0;NA;1;1;1;1;4;4
"GH";"Гана";NA;1;NA;NA;1;NA;1;NA;NA;1;NA;4;NA;1;1;NA;NA;2;6
"DE";"Германия";NA;NA;2;2;NA;NA;1;NA;NA;1;NA;6;NA;1;1;1;0;3;9
"EG";"Египет";NA;1;NA;NA;1;NA;NA;0;NA;NA;NA;2;NA;1;1;NA;NA;2;4
"IL";"Израиль";NA;NA;2;2;NA;NA;NA;NA;NA;1;NA;5;NA;1;1;1;1;4;9
"IN";"Индия";NA;1;NA;2;NA;NA;1;NA;NA;1;NA;5;NA;1;1;NA;1;3;8
"ID";"Индонезия";NA;1;NA;NA;1;NA;NA;0;NA;1;NA;3;NA;1;1;1;NA;3;6
"IQ";"Ирак";NA;1;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;1;NA;NA;0;1;2
"IR";"Иран";NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;3;NA;1;1;NA;NA;2;5
"ES";"Испания";NA;NA;2;2;NA;NA;NA;0;NA;NA;NA;4;NA;1;1;1;0;3;7
"IT";"Италия";NA;NA;2;2;NA;NA;NA;0;NA;NA;0;4;NA;1;1;1;NA;3;7
"KZ";"Казахстан";NA;1;NA;2;NA;NA;NA;0;NA;NA;0;3;NA;1;1;NA;NA;2;5
"CA";"Канада";NA;NA;2;2;NA;NA;1;NA;NA;NA;NA;5;NA;1;1;1;1;4;9
"CN";"Китай";NA;NA;2;NA;1;NA;NA;0;NA;1;NA;4;NA;1;1;1;1;4;8
"CO";"Колумбия";NA;NA;2;NA;1;NA;1;NA;NA;1;NA;5;NA;1;NA;NA;0;1;6
"MY";"Малайзия";NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;3;NA;1;1;1;NA;3;6
"MA";"Марокко";NA;1;NA;2;NA;NA;NA;0;NA;NA;NA;3;NA;1;1;1;NA;3;6
"MX";"Мексика";NA;1;NA;NA;1;NA;NA;0;NA;NA;NA;2;NA;1;1;NA;NA;2;4
"NG";"Нигерия";NA;1;NA;NA;1;NA;1;NA;NA;1;NA;4;NA;1;NA;NA;0;1;5
"NL";"Нидерланды";NA;NA;2;NA;1;NA;NA;0;NA;NA;0;3;NA;1;1;1;1;4;7
