"iso2";"country";"Дополнительные.бюджетные.расходы.в.%.от.ВВП";"fical_score"
"JP";"Япония";21,1;100
"CZ";"Чехия";14,4;68,1770684905481
"BE";"Бельгия";14,1;66,7521611095279
"IR";"Иран";14;66,2771919825211
"US";"США";13,9;65,8022228555144
"PT";"Португалия";13,2;62,4774389664672
"SE";"Швеция";13;61,5275007124537
"PL";"Польша";12,4;58,6776859504132
"AT";"Австрия";11,4;53,9279946803458
"BR";"Бразилия";11;52,0281181723188
"ZA";"ЮАР";10;47,2784269022514
"CA";"Канада";9,8;46,3284886482379
"PE";"Перу";7;33,029353092049
"IL";"Израиль";6,9;32,5543839650423
"AU";"Австралия";6,9;32,5543839650423
"CL";"Чили";5,8;27,3297235679681
"KZ";"Казахстан";5,2;24,4799088059276
"FR";"Франция";5;23,5299705519141
"TR";"Турция";5;23,5299705519141
"RO";"Румыния";5;23,5299705519141
"DE";"Германия";4,9;23,0550014249074
"PK";"Пакистан";4,8;22,5800322979006
"IT";"Италия";4,6;21,6300940438871
"ES";"Испания";4,5;21,1551249168804
"NL";"Нидерланды";4,4;20,6801557898737
"ID";"Индонезия";4,4;20,6801557898737
"MY";"Малайзия";4,3;20,2051866628669
"CN";"Китай";4,1;19,2552484088534
"IN";"Индия";3,6;16,8804027738197
"RU";"Россия";3,4;15,9304645198062
"SA";"Саудовская Аравия";3,2;14,9805262657927
"PH";"Филиппины";3,1;14,505557138786
"AR";"Аргентина";2,9;13,5556188847725
"CO";"Колумбия";2,8;13,0806497577657
"KR";"Южная Корея";2,8;13,0806497577657
"GB";"Великобритания";2,7;12,605680630759
"MA";"Марокко";2,7;12,605680630759
"BD";"Бангладеш";2,21;10,278331908426
"EG";"Египет";1,8;8,3309584876983
"AM";"Армения";1,1;5,00617459865109
"MX";"Мексика";0,9;4,0562363446376
"GH";"Гана";0,5;2,15635983661062
"NG";"Нигерия";0,4;1,68139070960388
"BY";"Белоруссия";0,3;1,20642158259713
"DZ";"Алжир";0,3;1,20642158259713
"UA";"Украина";0,2;0,731452455590387
"IQ";"Ирак";0,1;0,256483328583642
"EC";"Эквадор";0,046;0
