"country";"iso3";"note";"unit";"Ед..измерения";"2019-12-16";"2019-12-23";"2019-12-30";"2020-01-06";"2020-01-13";"2020-01-20";"2020-01-27";"2020-02-03";"2020-02-10";"2020-02-17";"2020-02-24";"2020-03-02";"2020-03-09";"2020-03-16";"2020-03-23";"2020-03-30";"2020-04-06";"2020-04-13";"2020-04-20";"2020-04-27";"2020-05-04";"2020-05-11";"2020-05-18";"2020-05-25";"2020-06-01";"2020-06-08";"2020-06-15";"2020-06-22";"2020-06-29"
"США";"USA";NA;NA;"Мб/сек";27,26;27,63;27,63;27,01;26,38;26,59;27,21;26,6;27,12;27,62;27,36;28,25;28,07;26,92;25,89;26,85;27,49;27,86;28,7;29,42;29,65;29,56;29,85;28,54;28,92;29,49;29,83;28,67;28,3
"Бразилия";"BRA";NA;NA;"Мб/сек";16,56;16,5;15,75;16,45;16,01;15,61;15,97;16,03;15,72;15,25;15,61;16,12;16,1;15,27;14,5;15,95;16,06;17,06;16,82;16,68;16,98;17,31;17,46;18;18,4;18,46;18,65;18,48;18,16
"Россия";"RUS";NA;NA;"Мб/сек";13,29;13,66;13,42;13,15;12,93;12,74;12,85;12,94;12,67;12,76;12,79;13,23;13,2;12,85;12,22;10,49;11,9;11,87;12,02;11,93;11,22;12,92;12,92;13,1;13,45;13,38;14,51;13,91;13,88
"Индия";"IND";NA;NA;"Мб/сек";7,43;7,82;7,71;7,39;7,54;7,54;7,74;7,92;7,9;7,77;7,86;7,69;7,68;6,37;4,51;5,07;5,61;6,01;6,2;6,41;6,9;7,33;7,78;7,93;7,99;8,3;8,13;8,15;8,62
"Великобритания";"GBR";NA;NA;"Мб/сек";23,36;23,9;24,34;23,08;22,2;22,31;22,59;22,25;22,1;21,97;22,68;22,35;22,63;22,61;21,95;22,79;22,68;23,05;23,22;20,79;23,81;23,26;22,79;22,73;23,27;22,63;21,97;21,46;21,91
"Испания";"ESP";NA;NA;"Мб/сек";22,86;22,54;22,83;23,33;23,27;22,39;22,26;21,99;24,08;22,95;22,38;22,04;21,11;17,85;18,91;18,89;19,84;19,71;21,03;21,69;21,62;21,74;22,64;22,92;23,35;22,79;22,82;21,71;21,22
"Италия";"ITA";NA;NA;"Мб/сек";26,62;25,86;24,84;25,4;25,02;25,12;25,4;25,1;25,35;25,68;24,47;24,17;18,09;18,41;17,25;19,56;20,93;20,88;20,74;22,11;26,09;26,04;27,83;28,75;27,67;28,05;28,24;27,56;26,41
"Перу";"PER";NA;NA;"Мб/сек";13,4;14,48;14,12;13,37;12,39;12,4;12,92;13,21;12,77;13,11;13,21;12,84;12,34;7,25;6,73;7,3;7,49;7,88;8,17;9,09;9,97;10,21;11,89;12,28;12,55;12,63;12,56;13,59;14,91
"Германия";"DEU";NA;NA;"Мб/сек";22,15;22,11;22,94;21,98;21,32;21,53;21,35;21,35;21,54;21,63;22,05;21,7;21,72;21,96;21,84;21,98;22,25;22,63;22,98;22,77;22,57;22,39;22,03;21,88;22,09;21,6;23,21;22,99;22,48
"Иран";"IRN";NA;NA;"Мб/сек";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Турция";"TUR";NA;NA;"Мб/сек";24,36;22,86;23,5;23,29;23,1;23,51;22,92;23,02;22,9;23,35;27,17;23,93;23,35;20,95;18,85;19,58;20,89;21,45;20,92;21,73;22,5;23,19;22,84;22,5;26,24;26,19;26,27;25,3;25,26
"Франция";"FRA";NA;NA;"Мб/сек";32,21;32,28;32,92;32,64;32,19;32,34;31,63;31,03;30,21;30,33;30,34;30,66;30,15;24,76;25,15;27,21;26,75;27,83;28,92;27,82;30,32;34,2;34,86;35,17;35,32;34,14;34,58;35,58;34,36
"Чили";"CHL";NA;NA;"Мб/сек";13,31;13,54;13,14;11,76;11,06;12,03;11,22;10,68;10,52;11,13;11,36;11,69;11,43;7,69;6,95;7,44;7,55;8,49;9,11;9,52;10,26;9,83;9,08;9,96;9,54;8,71;8,76;9,1;9,34
"Мексика";"MEX";NA;NA;"Мб/сек";18,15;18,43;18,52;19,01;17,88;17,57;17,84;17,63;17,78;16,93;17,05;16,99;17,31;17,23;18,38;19,74;19,51;20,62;21,19;20,57;19,92;20,19;20,25;21,11;21,13;21,12;21,18;20,97;21,92
"Пакистан";"PAK";NA;NA;"Мб/сек";10,23;10,19;10,01;9,59;9,96;10;9,69;9,97;9,66;9,24;9,36;8,67;9,41;8,73;6,99;7,78;8,88;9,08;10,7;10,88;10,2;10,89;12,28;9,99;9,52;9,61;9,12;9,94;12,29
"Саудовская Аравия";"SAU";NA;NA;"Мб/сек";41,05;44,06;43,56;42,09;42,91;43,52;45,24;43,98;43,46;43,39;44,68;43,47;41,84;37,27;33,61;37,45;37,43;38,58;43,07;44,87;43,42;48,18;45,6;46,14;49,18;46,7;46,45;52,65;52,11
"Канада";"CAN";NA;NA;"Мб/сек";50,48;48,45;49,81;51,95;53,46;52,56;52,87;51,81;52,27;53,96;53,43;52,32;52,9;49,84;48,16;48,86;49,02;49,27;51,56;50,53;50,26;47,45;46,15;44,81;45,29;45,54;46,31;46,64;42,1
"Китай";"CHN";NA;NA;"Мб/сек";31,99;31,27;32,38;33,04;33,39;28,52;24,45;26,08;26,74;29,96;30,96;33,51;33,34;33,71;33,3;35,31;35,69;35,44;35,75;36,34;37,2;38,75;37,78;36,48;40,14;39,92;38,87;37,96;40,23
"Бангладеш";"BGD";NA;NA;"Мб/сек";8,34;8,19;8,31;8,29;7,8;8,39;7,88;7,95;8,1;7,66;7,56;7,74;7,61;6,8;5,08;5,36;5,63;6,12;6,65;7,61;7,14;7,4;7,23;5,87;6,79;6,95;6,94;7,41;7,51
"Бельгия";"BEL";NA;NA;"Мб/сек";38,97;38,97;38,61;39,79;36,43;37,86;37,52;36,8;37,79;35,63;37,4;36,74;36,83;35,53;37,35;38,14;38,26;37,24;37,37;35,55;37,68;37;36,34;38,56;38,4;36,73;39,57;38,06;39,41
"Южная Африка";"ZAF";NA;NA;"Мб/сек";20,75;20,14;19,32;20,54;22,09;23,43;21,22;19,98;22,23;21,89;22,15;22,83;19,81;20,37;16,65;14,11;16,54;16,78;17,93;17,79;19,14;18,33;19,94;20,35;20,64;20,14;20,71;21,02;21,46
"Белоруссия";"BLR";NA;NA;"Мб/сек";9,45;9,89;11,43;10,04;9,77;9,83;10,34;10,45;9,38;9,06;9,11;9,6;8,87;8,73;8,18;8,63;8,34;8,26;8,3;8,35;8,48;8,31;8,94;8,31;8,63;7,85;7,87;7,96;8,88
"Швеция";"SWE";NA;NA;"Мб/сек";32,63;29,87;29,36;32;31,2;33,37;34,42;30,15;32,32;31,07;32,21;32,05;31,46;30,63;33,81;30,4;31,79;33,49;34,58;33,28;33,85;33,75;30,76;37,4;32,84;36,46;28,43;31,8;29,04
"Нидерланды";"NLD";NA;NA;"Мб/сек";56,12;55,03;54,92;53,59;53,9;58,12;57,24;57,57;57,48;55,47;57,68;57,16;58,2;60,3;59,48;61,54;61,71;62,84;62,88;62,66;63,57;62,55;60,34;58,43;60,51;60,11;57,36;54,86;50,5
"Колумбия";"COL";NA;NA;"Мб/сек";13,58;14,42;14,06;13,33;13,34;13,78;13,97;13,66;13,71;12,82;13,56;13,27;13,08;12,04;11,32;12,01;12,69;13,37;14,25;14;13,63;14,21;13,3;12,72;13,36;13,64;13,8;13,52;13,36
"Эквадор";"ECU";NA;NA;"Мб/сек";16,51;16,13;17,24;15,72;15,75;15,98;15,89;15,62;16,18;16,29;14,49;14,34;15,03;15,17;13,73;15,8;15,25;15,77;18,61;17,03;17,13;18,02;17,69;17,26;17,36;16,63;17,25;17,25;18,19
"Египет";"EGY";NA;NA;"Мб/сек";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Португалия";"PRT";NA;NA;"Мб/сек";24,4;24,96;24,71;26,84;24,6;26,8;24,26;25,5;25,93;27,22;24,6;24,53;25,06;20,04;21,22;21;20,18;20,54;22,46;22,86;23,29;22,1;24,89;26,24;25,86;22,78;25,84;26,25;26,25
"Индонезия";"IDN";NA;NA;"Мб/сек";9,61;9,47;8,99;9,85;9,72;9,95;10,53;10,41;10,28;10,06;9,84;10,02;9,97;9,07;8,09;8,29;8,34;9,2;9,28;9,38;9,23;10,19;10,64;10,04;10,4;10,8;11,31;11,93;12,07
"Украина";"UKR";NA;NA;"Мб/сек";16,35;17,11;18,18;17,43;16,62;16,09;15,61;15,05;15,14;15,38;14,91;15,67;15,61;15,76;15,67;16,86;17,57;18,02;17,84;18,2;18,14;18,71;18,76;18,67;19,54;19,04;18,86;18,38;19,16
