"iso2";"country";"country_en";"infected_thousand.june-2020";"population_mln";"gdp_bln_ppp";"base_month"
"AU";"Австралия";"Australia";7,289;25,48361;1362,073;"2020M02"
"AT";"Австрия";"Austria";17,034;9,00373;476,812;"2020M02"
"DZ";"Алжир";"Algeria";10,589;43,804765;668,827;"2020M03"
"AR";"Аргентина";"Argentina";27,373;45,173491;911,562;"2020M02"
"AM";"Армения";"Armenia";15,281;2,962966;33,426;"2020M02"
"BD";"Бангладеш";"Bangladesh";78,052;164,600549;838,554;"2020M02"
"BY";"Белоруссия";"Belarus";51,816;9,449475;195,119;"2020M03"
"BE";"Бельгия";"Belgium";59,711;11,587039;572,902;"2020M02"
"BR";"Бразилия";"Brazil";805,649;212,47986;3480,546;"2020M02"
"GB";"Великобритания";"United Kingdom";291,409;67,867577;3162,408;"2020M02"
"GH";"Гана";"Ghana";10,358;31,034041;204,813;"2020M02"
"DE";"Германия";"Germany";186,795;83,770376;4443,569;"2020M02"
"EG";"Египет";"Egypt";39,726;102,22076;1391,271;"2020M02"
"IL";"Израиль";"Israel";18,701;9,19759;354,878;"2020M02"
"IN";"Индия";"India";298,283;1379,27074;11043,18;"2020M02"
"ID";"Индонезия";"Indonesia";35,295;273,36609;3735,644;"2020M02"
"IQ";"Ирак";"Iraq";16,675;40,16759;708,265;"2020M02"
"IR";"Иран";"Iran";180,156;83,933136;1491,445;"2020M02"
"ES";"Испания";"Spain";289,787;46,753887;1923,646;"2020M02"
"IT";"Италия";"Italy";236,142;60,466117;2454,809;"2020M01"
"KZ";"Казахстан";"Kazakhstan";13,872;18,764311;540,984;"2020M02"
"CA";"Канада";"Canada";97,53;37,724444;1904,393;"2020M02"
"CN";"Китай";"China";83,064;1439,323776;27306,979;"2019M12"
"CO";"Колумбия";"Colombia";45,212;50,85333;785,836;"2020M02"
"MY";"Малайзия";"Malaysia";8,369;32,342925;1076,373;"2020M02"
"MA";"Марокко";"Morocco";8,537;36,886438;327,251;"2020M02"
"MX";"Мексика";"Mexico";133,974;128,859025;2616,289;"2020M02"
"NG";"Нигерия";"Nigeria";14,554;205,822203;1215,389;"2020M02"
"NL";"Нидерланды";"Netherlands";48,251;17,132971;1005,337;"2020M02"
"PK";"Пакистан";"Pakistan";125,933;220,638507;1201,629;"2020M02"
"PE";"Перу";"Peru";214,788;32,946025;476,014;"2020M02"
"PL";"Польша";"Poland";28,201;37,848619;1287,275;"2020M02"
"PT";"Португалия";"Portugal";35,91;10,198122;346,926;"2020M02"
"RU";"Россия";"Russia";511,423;145,931382;4389,96;"2020M02"
"RO";"Румыния";"Romania";21,182;19,243552;549,195;"2020M02"
"SA";"Саудовская Аравия";"Saudi Arabia";116,021;34,782906;1900,894;"2020M02"
"US";"США";"United States";2089,825;330,901704;21427,675;"2020M02"
"TR";"Турция";"Turkey";174,023;84,289552;2361,778;"2020M02"
"UA";"Украина";"Ukraine";29,753;43,745847;409,825;"2020M02"
"PH";"Филиппины";"Philippines";24,175;109,499539;1027,186;"2020M02"
"FR";"Франция";"France";155,561;65,26627;3061,815;"2020M02"
"CZ";"Чехия";"Czechia";9,855;10,707989;412,978;"2020M02"
"CL";"Чили";"Chile";154,092;19,107435;495,176;"2020M02"
"SE";"Швеция";"Sweden";48,288;10,095978;564,771;"2020M02"
"EC";"Эквадор";"Ecuador";44,44;17,627809;203,611;"2020M02"
"ZA";"ЮАР";"South Africa";58,568;59,267163;804,688;"2020M02"
"KR";"Южная Корея";"South Korea";12,003;51,267003;2320,498;"2020M01"
"JP";"Япония";"Japan";17,292;126,494838;5711,929;"2020M02"
